id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month,topic,compound,datetime_20mins_after,price_20mins_after,price_now,20mins_price_diff_abs,20mins_price_diff_perc
9.3534e+17,thank rand,42793,9125,2017-11-28 02:50:00,2017-11-28 10:50:00,2017-11-28,10:50:00,10,2017,11,1,0.4199,2017-11-28 11:10:00,261.155,261.1,0.05499999999994998,0.0002106472615854078
8.99798e+17,join live fort myer arlington virginia,36009,4891,2017-08-22 01:00:00,2017-08-22 09:00:00,2017-08-22,09:00:00,9,2017,8,2,0.29600000000000004,2017-08-22 09:20:00,243.57,243.67,-0.09999999999999432,-0.0004103911027208697
8.9397e+17,thank nicole,43367,8275,2017-05-08 23:01:00,2017-05-09 07:01:00,2017-05-09,07:01:00,7,2017,5,6,0.4199,2017-05-09 07:21:00,239.89857142857144,239.875,0.023571428571443676,9.826546564437176e-05
8.81977e+17,thank shawn steel nice word,50956,7465,2017-03-07 20:44:00,2017-03-08 04:44:00,2017-03-08,04:44:00,4,2017,3,3,0.6486,2017-03-08 05:04:00,236.925,236.88,0.045000000000015916,0.00018996960486328908
8.77846e+17,great night iowa special people thank,56446,8039,2017-06-22 11:11:00,2017-06-22 19:11:00,2017-06-22,19:11:00,19,2017,6,6,0.8622,2017-06-22 19:31:00,242.89,242.88,0.009999999999990905,4.1172595520384163e-05
8.78725e+17,make america great,134210,36346,2017-06-24 21:23:00,2017-06-25 05:23:00,2017-06-25,05:23:00,5,2017,6,2,0.6588,2017-06-25 05:43:00,243.32266666666663,243.32076190476192,0.0019047619047114495,7.828193080609337e-06
8.74084e+17,daughter ivanka tomorrow morning enjoy,50169,6877,2017-12-06 02:02:00,2017-12-06 10:02:00,2017-12-06,10:02:00,10,2017,12,0,0.5411,2017-12-06 10:22:00,262.91,263.475,-0.5649999999999977,-0.0021444159787456026
8.60089e+17,congratulation unbelievable rating hike,31683,5238,2017-04-05 11:07:00,2017-04-05 19:07:00,2017-04-05,19:07:00,19,2017,4,8,0.6908,2017-04-05 19:27:00,234.58,234.57,0.010000000000019327,4.263119751042046e-05
8.52985e+17,weekly address,28250,5616,2017-04-14 20:41:00,2017-04-15 04:41:00,2017-04-15,04:41:00,4,2017,4,3,0.0,2017-04-15 05:01:00,232.50587291666668,232.5059145833333,-4.1666666618311865e-05,-1.7920691046927308e-07
8.32375e+17,trump sign bill undoing obama coal mining rule,79427,15157,2017-02-16 23:44:00,2017-02-17 07:44:00,2017-02-17,07:44:00,7,2017,2,1,0.0,2017-02-17 08:04:00,234.1,234.22,-0.12000000000000455,-0.0005123388267441062
1.0651e+18,america first,157446,34373,2018-11-21 04:40:00,2018-11-21 12:40:00,2018-11-21,12:40:00,12,2018,11,2,0.0,2018-11-21 13:00:00,266.85,266.5,0.35000000000002274,0.0013133208255160327
1.05848e+18,job job job,50814,12836,2018-02-11 22:14:00,2018-02-12 06:14:00,2018-02-12,06:14:00,6,2018,2,5,0.0,2018-02-12 06:34:00,264.68,264.67,0.009999999999990905,3.7782899459670175e-05
1.05087e+18,,39087,8232,2018-12-10 22:02:00,2018-12-11 06:02:00,2018-12-11,06:02:00,6,2018,12,6,0.0,2018-12-11 06:22:00,266.06,265.62,0.4399999999999977,0.0016565017694450633
