id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month,topic,compound,datetime_60mins_after,price_60mins_after,price_now,60mins_price_diff_abs,60mins_price_diff_perc
9.3534e+17,thank rand,42793,9125,2017-11-28 02:50:00,2017-11-28 10:50:00,2017-11-28,10:50:00,10,2017,11,1,0.4199,2017-11-28 11:50:00,261.485,261.1,0.3849999999999909,0.0014745308310991608
8.99798e+17,join live fort myer arlington virginia,36009,4891,2017-08-22 01:00:00,2017-08-22 09:00:00,2017-08-22,09:00:00,9,2017,8,2,0.29600000000000004,2017-08-22 10:00:00,244.26,243.67,0.5900000000000034,0.0024213075060532828
8.9397e+17,thank nicole,43367,8275,2017-05-08 23:01:00,2017-05-09 07:01:00,2017-05-09,07:01:00,7,2017,5,6,0.4199,2017-05-09 08:01:00,239.94,239.875,0.06499999999999773,0.0002709744658676299
8.81977e+17,thank shawn steel nice word,50956,7465,2017-03-07 20:44:00,2017-03-08 04:44:00,2017-03-08,04:44:00,4,2017,3,3,0.6486,2017-03-08 05:44:00,237.02285714285716,236.88,0.14285714285716722,0.0006030781106769977
8.78725e+17,make america great,134210,36346,2017-06-24 21:23:00,2017-06-25 05:23:00,2017-06-25,05:23:00,5,2017,6,2,0.6588,2017-06-25 06:23:00,243.32647619047614,243.32076190476192,0.0057142857142196135,2.3484579242178437e-05
8.74084e+17,daughter ivanka tomorrow morning enjoy,50169,6877,2017-12-06 02:02:00,2017-12-06 10:02:00,2017-12-06,10:02:00,10,2017,12,0,0.5411,2017-12-06 11:02:00,263.44,263.475,-0.03500000000002501,-0.0001328399278869912
8.52985e+17,weekly address,28250,5616,2017-04-14 20:41:00,2017-04-15 04:41:00,2017-04-15,04:41:00,4,2017,4,3,0.0,2017-04-15 05:41:00,232.5057895833333,232.5059145833333,-0.00012499999999704414,-5.376207320190233e-07
8.32375e+17,trump sign bill undoing obama coal mining rule,79427,15157,2017-02-16 23:44:00,2017-02-17 07:44:00,2017-02-17,07:44:00,7,2017,2,1,0.0,2017-02-17 08:44:00,234.04,234.22,-0.18000000000000682,-0.0007685082401161593
1.0651e+18,america first,157446,34373,2018-11-21 04:40:00,2018-11-21 12:40:00,2018-11-21,12:40:00,12,2018,11,2,0.0,2018-11-21 13:40:00,266.64,266.5,0.13999999999998636,0.0005253283302063278
1.05848e+18,job job job,50814,12836,2018-02-11 22:14:00,2018-02-12 06:14:00,2018-02-12,06:14:00,6,2018,2,5,0.0,2018-02-12 07:14:00,264.5,264.67,-0.17000000000001592,-0.0006423092908150373
1.05087e+18,,39087,8232,2018-12-10 22:02:00,2018-12-11 06:02:00,2018-12-11,06:02:00,6,2018,12,6,0.0,2018-12-11 07:02:00,266.56,265.62,0.9399999999999977,0.003538890143814463
1.0462e+18,,54237,12617,2018-09-30 00:51:00,2018-09-30 08:51:00,2018-09-30,08:51:00,8,2018,9,6,0.0,2018-09-30 09:51:00,291.7270803571428,291.7004732142857,0.02660714285713084,9.121391735825194e-05
1.04106e+18,thank,30020,5917,2018-09-15 20:26:00,2018-09-16 04:26:00,2018-09-16,04:26:00,4,2018,9,6,0.4199,2018-09-16 05:26:00,290.65313095238093,290.6599166666667,-0.006785714285740596,-2.334588946271033e-05
1.04043e+18,gina great,35481,7208,2018-09-14 02:37:00,2018-09-14 10:37:00,2018-09-14,10:37:00,10,2018,9,8,0.6588,2018-09-14 11:37:00,291.1,290.99,0.11000000000001364,0.00037801986322558726
1.03789e+18,make america great,57264,13708,2018-07-09 02:38:00,2018-07-09 10:38:00,2018-07-09,10:38:00,10,2018,7,2,0.6588,2018-07-09 11:38:00,277.345,276.92,0.42500000000001137,0.001534739274880873
1.03491e+18,,90355,31460,2018-08-29 20:55:00,2018-08-30 04:55:00,2018-08-30,04:55:00,4,2018,8,6,0.0,2018-08-30 05:55:00,290.93,290.9,0.03000000000002956,0.00010312822275706277
9.66119e+17,true thank,82845,17050,2018-02-21 01:14:00,2018-02-21 09:14:00,2018-02-21,09:14:00,9,2018,2,2,0.7322,2018-02-21 10:14:00,272.5825,271.52,1.0625,0.00391315556865056
1.01994e+18,trump recognized russian meddling many time,2539,809,2018-07-19 01:27:00,2018-07-19 09:27:00,2018-07-19,09:27:00,9,2018,7,3,0.0,2018-07-19 10:27:00,279.91,280.28,-0.3699999999999477,-0.0013201084629654194
9.48319e+17,congratulation senator orrin hatch absolutely incredible career ha tremendous supporter never forget beyond kind statement ha made president friend greatly missed u senate,53678,9691,2018-02-01 22:23:00,2018-02-02 06:23:00,2018-02-02,06:23:00,6,2018,2,4,0.8255,2018-02-02 07:23:00,280.03,279.97,0.05999999999994543,0.00021430867592936895
9.48356e+17,north korean leader kim jong un stated nuclear button desk time someone depleted food starved regime please inform nuclear button much bigger powerful one button work,430222,153496,2018-03-01 00:49:00,2018-03-01 08:49:00,2018-03-01,08:49:00,8,2018,3,0,0.5833,2018-03-01 09:49:00,270.9,271.54,-0.6400000000000432,-0.002356927156220237
9.4836e+17,announcing dishonest corrupt medium award year monday clock subject cover dishonesty bad reporting various category fake news medium stay tuned,164894,39474,2018-03-01 01:05:00,2018-03-01 09:05:00,2018-03-01,09:05:00,9,2018,3,9,-0.8631,2018-03-01 10:05:00,271.23,271.73,-0.5,-0.001840061826077356
9.48404e+17,president trump ha something year ago set accomplishment nobody deny accomplishment look record ha significant first year show david asman ed rollins,82534,16495,2018-03-01 04:03:00,2018-03-01 12:03:00,2018-03-01,12:03:00,12,2018,3,1,-0.079,2018-03-01 13:03:00,269.1,271.12,-2.019999999999982,-0.00745057539097072
9.48722e+17,melania deeply saddened death thomas monson beloved president church jesus christ latterday saint,50667,10029,2018-04-01 01:06:00,2018-04-01 09:06:00,2018-04-01,09:06:00,9,2018,4,0,-0.6478,2018-04-01 10:06:00,262.7851625,262.7910375,-0.005875000000003183,-2.235616578058977e-05
9.48738e+17,u company responded president trump tax cut reform victory congress last year handing bonus increase k match spending charity much higher number previously known,57755,13178,2018-04-01 02:07:00,2018-04-01 10:07:00,2018-04-01,10:07:00,10,2018,4,7,0.6808,2018-04-01 11:07:00,262.77918958333333,262.78506458333334,-0.005875000000003183,-2.2356673920256708e-05
9.48739e+17,stock market another good day tax cut bill ha passed tremendous upward potential dow short number thought would possible soon administration also unemployment went getting better,90710,15696,2018-04-01 02:11:00,2018-04-01 10:11:00,2018-04-01,10:11:00,10,2018,4,0,-0.1386,2018-04-01 11:11:00,262.7787979166667,262.7846729166667,-0.005875000000003183,-2.235670724169762e-05
9.49066e+17,thank great republican senator showed mtg immigration reform must build wall stop illegal immigration end chain migration cancel visa lottery current system unsafe unfair great people country time change,116304,23628,2018-04-01 23:53:00,2018-04-02 07:53:00,2018-04-02,07:53:00,7,2018,4,0,0.2714,2018-04-02 08:53:00,262.63,262.43,0.19999999999998863,0.0007621079907022391
9.49071e+17,making america great,79061,17547,2018-05-01 00:11:00,2018-05-01 08:11:00,2018-05-01,08:11:00,8,2018,5,2,0.6588,2018-05-01 09:11:00,263.97,264.21,-0.23999999999995225,-0.0009083683433630532
9.49127e+17,authorized zero access white house actually turned many time author phony book never spoke book full lie misrepresentation source exist look guy past watch happens sloppy steve,84431,18374,2018-05-01 03:52:00,2018-05-01 11:52:00,2018-05-01,11:52:00,11,2018,5,2,-0.5242,2018-05-01 12:52:00,262.755,262.91,-0.15500000000002956,-0.0005895553611503159
